;Data;Conta;Conta_Nome;Valor_Ajustado;Origem
0;2024-07-31;19-6;OUTROS ATIVOS EM MOEDA LOCAL;-979117354.88;d
1;2024-12-31;60-8;OBRIGAÇÕES POR OPERAÇÕES A LIQUIDAR EM MOEDA LOCAL;45199320.51;a
2;2024-08-31;50-5;OBRIGAÇÕES POR OPERAÇÕES A LIQUIDAR EM MOEDAS ESTRANGEIRAS;16302533518.57;d
3;2024-06-30;68-4;MEIO CIRCULANTE;347331283087.32;d
4;2024-12-31;12-7;CRÉDITOS COM O GOVERNO FEDERAL EM MOEDA LOCAL;-123358227164.34;d
5;2024-03-31;64-6;DERIVATIVOS EM MOEDA LOCAL;2771451649.87;d
6;2024-05-31;04-8;OPERAÇÕES COM DERIVATIVOS EM MOEDAS ESTRANGEIRAS;-271626640.3;d
7;2024-02-29;68-4;MEIO CIRCULANTE;331573415147.24;d
8;2024-03-31;04-8;OPERAÇÕES COM DERIVATIVOS EM MOEDAS ESTRANGEIRAS;-216731109.34;d
9;2024-12-31;34-7;DESPESAS DE JUROS EM MOEDA LOCAL;-384385719540.93;a
10;2024-10-31;39-2;OUTRAS DESPESAS;-6168330671.15;d
11;2024-05-31;18-9;BENS MÓVEIS E IMÓVEIS;-744707030.34;d
12;2024-08-31;60-8;OBRIGAÇÕES POR OPERAÇÕES A LIQUIDAR EM MOEDA LOCAL;35545746.03;d
13;2024-10-31;63-9;OPERAÇÕES COMPROMISSADAS EM MOEDA LOCAL;1566353591347.06;d
14;2024-12-31;8356-0;RECEITAS DE CORREÇÃO CAMBIAL SOBRE  CRÉDITOS A PAGAR EM MOEDAS          ESTRANGEIRAS;3116087715.29;a
15;2024-12-31;81-1;RECEITAS COM POSIÇÃO DE NEGOCIAÇÃO EM MOEDAS ESTRANGEIRAS;107607110381.38;a
16;2024-08-31;77-0;PATRIMÔNIO INSTITUCIONAL;53953760560.64;d
17;2024-05-31;71-8;RESERVAS DE REAVALIAÇÃO;323116829.53;d
18;2024-08-31;37-8;DESPESAS COM CORREÇÃO CAMBIAL DE OPERAÇÕES REFERENCIADAS EM MOEDAS ESTRANGEIRAS;-14720711.88;d
19;2024-10-31;68-4;MEIO CIRCULANTE;348106151399.76;d
20;2024-02-29;66-0;OBRIGAÇÕES A PAGAR EM MOEDA LOCAL;646682460.38;d
21;2024-07-31;02-4;RECURSOS EM MOEDAS ESTRANGEIRAS     SOB ADMINISTRAÇÃO EXTERNA;-85676039508.84;d
22;2024-11-30;34-7;DESPESAS DE JUROS EM MOEDA LOCAL;-349621911171.75;d
23;2024-03-31;80-4;RECEITAS DE JUROS EM MOEDAS ESTRANGEIRAS;11334190076.35;d
24;2024-12-31;53-6;OPERAÇÕES COMPROMISSADAS EM MOEDAS ESTRANGEIRAS;80191878325.32;d
25;2024-09-30;03-1;OPERAÇÕES COMPROMISSADAS EM MOEDAS ESTRANGEIRAS;-100895116096.6;d
26;2024-10-31;50-5;OBRIGAÇÕES POR OPERAÇÕES A LIQUIDAR EM MOEDAS ESTRANGEIRAS;6699125425.08;d
27;2024-01-31;05-5;OPERAÇÕES COM TÍTULOS EM MOEDAS ESTRANGEIRAS;-1438174529279.92;d
28;2024-07-31;05-5;OPERAÇÕES COM TÍTULOS EM MOEDAS ESTRANGEIRAS;-1663223649995.06;d
29;2024-05-31;16-5;CRÉDITOS A RECEBER EM MOEDA LOCAL;-3906530175.99;d
30;2024-06-30;31-6;DESPESAS COM POSIÇÃO DE NEGOCIAÇÃO EM MOEDAS ESTRANGEIRAS;-42147754825.17;d
31;2024-12-31;67-7;PROVISÕES PASSIVAS EM MOEDA LOCAL;41500729501.14;a
32;2024-09-30;00-0;DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS;-154582668707.32;d
33;2024-06-30;15-8;OPERAÇÕES COM TÍTULOS EM MOEDA LOCAL;-2445961282388.36;d
34;2024-11-30;83-5;RECEITAS DE CORREÇAO CAMBIAL SOBRE ATIVOS E PASSIVOS EM MOEDAS ESTRANGEIRAS;528390602743.78;d
35;2024-05-31;66-0;OBRIGAÇÕES A PAGAR EM MOEDA LOCAL;457891119.98;d
36;2024-12-31;18-9;BENS MÓVEIS E IMÓVEIS;-723637456.73;a
37;2024-04-30;33-0;DESPESAS DE CORREÇÃO CAMBIAL SOBRE ATIVOS E PASSIVOS EM MOEDAS ESTRANGEIRAS;-11220569702.75;d
38;2024-03-31;89-7;OUTRAS RECEITAS;1997671043.79;d
39;2024-08-31;35-4;DESPESAS COM POSIÇÃO DE NEGOCIAÇÃO EM MOEDA LOCAL;-66237422757.56;d
40;2024-11-30;19-6;OUTROS ATIVOS EM MOEDA LOCAL;-913267789.63;d
41;2024-06-30;62-2;OBRIGAÇÕES COM O GOVERNO FEDERAL;1715359151088.96;d
42;2024-03-31;15-8;OPERAÇÕES COM TÍTULOS EM MOEDA LOCAL;-2398699792751.64;d
43;2024-12-31;62-2;OBRIGAÇÕES COM O GOVERNO FEDERAL;1635412410800.21;a
44;2024-03-31;3945-9;DESPESAS DE PESSOAL E ENCARGOS PATRONAIS;-400928810.02;d
45;2024-08-31;05-5;OPERAÇÕES COM TÍTULOS EM MOEDAS ESTRANGEIRAS;-1695915440022.97;d
46;2024-10-31;66-0;OBRIGAÇÕES A PAGAR EM MOEDA LOCAL;510224381.62;d
47;2024-09-30;1211-5;VALORES A RESTITUIR EM MOEDA LOCAL;-334685.29;d
48;2024-09-30;73-2;GANHOS E PERDAS NÃO RECONHECIDOS NO RESULTADO;18353884957.12;d
49;2024-12-31;33-0;DESPESAS DE CORREÇÃO CAMBIAL SOBRE ATIVOS E PASSIVOS EM MOEDAS ESTRANGEIRAS;-146935127126.43;a
50;2024-07-31;71-8;RESERVAS DE REAVALIAÇÃO;323116829.53;d
51;2024-03-31;39-2;OUTRAS DESPESAS;-2736326444.39;d
52;2024-04-30;12-7;CRÉDITOS COM O GOVERNO FEDERAL EM MOEDA LOCAL;-115214798010.56;d
53;2024-07-31;85-9;RECEITAS COM POSIÇÃO DE NEGOCIAÇÃO EM MOEDA LOCAL;667.7;d
54;2024-07-31;60-8;OBRIGAÇÕES POR OPERAÇÕES A LIQUIDAR EM MOEDA LOCAL;29921396.03;d
55;2024-07-31;37-8;DESPESAS COM CORREÇÃO CAMBIAL DE OPERAÇÕES REFERENCIADAS EM MOEDAS ESTRANGEIRAS;-14718928.76;d
56;2024-11-30;30-9;DESPESAS DE JUROS EM MOEDAS ESTRANGEIRAS;-6560943439.8;d
57;2024-09-30;30-9;DESPESAS DE JUROS EM MOEDAS ESTRANGEIRAS;-5121950600.66;d
58;2024-10-31;67-7;PROVISÕES PASSIVAS EM MOEDA LOCAL;41582987126.38;d
59;2024-10-31;59-8;OUTROS PASSIVOS EM MOEDAS ESTRANGEIRAS;1477292.44;d
60;2024-11-30;04-8;OPERAÇÕES COM DERIVATIVOS EM MOEDAS ESTRANGEIRAS;-578415478.2;d
61;2024-07-31;81-1;RECEITAS COM POSIÇÃO DE NEGOCIAÇÃO EM MOEDAS ESTRANGEIRAS;62771963361.07;d
62;2024-12-31;83-5;RECEITAS DE CORREÇAO CAMBIAL SOBRE ATIVOS E PASSIVOS EM MOEDAS ESTRANGEIRAS;570910799663.19;a
63;2024-09-30;02-4;RECURSOS EM MOEDAS ESTRANGEIRAS     SOB ADMINISTRAÇÃO EXTERNA;-81301147706.85;d
64;2024-06-30;56-7;CRÉDITOS A PAGAR EM MOEDAS          ESTRANGEIRAS;99173431625.1;d
65;2024-08-31;06-2;CRÉDITOS A RECEBER EM MOEDAS ESTRANGEIRAS;-5417263744.65;d
66;2024-07-31;33-0;DESPESAS DE CORREÇÃO CAMBIAL SOBRE ATIVOS E PASSIVOS EM MOEDAS ESTRANGEIRAS;-36851813615.6;d
67;2024-10-31;33-0;DESPESAS DE CORREÇÃO CAMBIAL SOBRE ATIVOS E PASSIVOS EM MOEDAS ESTRANGEIRAS;-129978147112.22;d
68;2024-12-31;13-4;OPERAÇÕES COMPROMISSADAS EM MOEDA LOCAL;-2227759.07;a
69;2024-07-31;62-2;OBRIGAÇÕES COM O GOVERNO FEDERAL;1701209097775.12;d
70;2024-09-30;71-8;RESERVAS DE REAVALIAÇÃO;323116829.53;d
71;2024-01-31;3945-9;DESPESAS DE PESSOAL E ENCARGOS PATRONAIS;-169121066.63;d
72;2024-09-30;59-8;OUTROS PASSIVOS EM MOEDAS ESTRANGEIRAS;4639143.83;d
73;2024-05-31;30-9;DESPESAS DE JUROS EM MOEDAS ESTRANGEIRAS;-2156168236.76;d
74;2024-02-29;06-2;CRÉDITOS A RECEBER EM MOEDAS ESTRANGEIRAS;-4484453008.97;d
75;2024-12-31;15-8;OPERAÇÕES COM TÍTULOS EM MOEDA LOCAL;-2515792034132.8;d
